Red,Green,Blue,HueCode,HueNum,Value,Chroma,Remarks
0,34,17,G,1.36,1,3.83,
0,34,34,BG,3.05,1.06,2.95,
0,34,51,B,6.6,1.14,3.14,
0,34,68,PB,3.37,1.26,4.97,
0,34,85,PB,5.54,1.4,6.99,
0,34,102,PB,6.1,1.57,9.06,
0,34,119,PB,6.4,1.75,11.29,
0,34,153,PB,6.67,2.15,15.47,
0,51,0,GY,8.02,1.7,6.15,
0,51,17,GY,9.65,1.72,5.38,
0,51,34,G,3.47,1.76,4.5,
0,51,51,BG,3.37,1.81,3.8,
0,51,68,B,4.02,1.89,3.82,
0,51,85,PB,1.19,1.99,5.27,
0,51,102,PB,4.55,2.11,7.08,
0,51,119,PB,5.7,2.24,9.05,
0,51,136,PB,6.18,2.39,11.13,
0,51,153,PB,6.45,2.55,13.2,
0,51,170,PB,6.61,2.72,15.19,
0,51,204,PB,6.82,3.08,19.4,
0,51,221,PB,6.87,3.26,21.23,
0,68,0,GY,8.58,2.39,7.99,
0,68,17,GY,9.51,2.4,7.36,
0,68,34,G,1.24,2.42,6.47,
0,68,51,G,5.5,2.46,5.35,
0,68,68,BG,3.71,2.52,4.51,
0,68,85,B,2.21,2.59,4.24,
0,68,102,B,9.13,2.67,5.28,
0,68,119,PB,2.9,2.77,7.03,
0,68,136,PB,5.12,2.88,9.12,
0,68,153,PB,5.85,3.01,11.28,
0,68,170,PB,6.25,3.15,13.28,
0,68,187,PB,6.49,3.29,15.22,
0,68,204,PB,6.65,3.45,17.19,
0,68,221,PB,6.78,3.61,19.19,
0,68,238,PB,6.87,3.77,21.18,
0,68,255,PB,6.94,3.95,23.32,
0,85,0,GY,8.9,3.02,9.42,
0,85,17,GY,9.56,3.03,8.8,
0,85,34,G,0.66,3.05,7.98,
0,85,51,G,2.28,3.08,6.85,
0,85,68,G,7.13,3.12,5.72,
0,85,85,BG,4.03,3.17,4.96,
0,85,102,B,1.16,3.24,4.73,
0,85,119,B,7.36,3.31,5.63,
0,85,136,PB,1.51,3.4,7.28,
0,85,153,PB,3.98,3.5,9.24,
0,85,170,PB,5.36,3.61,11.31,
0,85,187,PB,5.94,3.74,13.45,
0,85,204,PB,6.31,3.86,15.53,
0,85,221,PB,6.57,4,17.61,
0,85,238,PB,6.73,4.15,19.23,
0,85,255,PB,6.85,4.3,21.01,
0,102,0,GY,9.08,3.63,10.18,
0,102,17,GY,9.54,3.64,9.68,
0,102,34,G,0.31,3.65,8.96,
0,102,51,G,1.42,3.68,8.11,
0,102,68,G,3.42,3.71,7.02,
0,102,85,G,8.33,3.75,6.1,
0,102,102,BG,4.3,3.8,5.5,
0,102,119,B,0.55,3.86,5.39,
0,102,136,B,6.11,3.93,6.25,
0,102,153,PB,0.36,4.02,7.78,
0,102,170,PB,2.88,4.11,9.67,
0,102,187,PB,4.77,4.21,11.65,
0,102,204,PB,5.6,4.32,13.59,
0,102,221,PB,6.07,4.44,15.48,
0,102,238,PB,6.38,4.56,17.29,
0,102,255,PB,6.61,4.7,19.02,
0,119,0,GY,9.26,4.22,11.16,
0,119,17,GY,9.61,4.23,10.73,
0,119,34,G,0.2,4.24,10.13,
0,119,51,G,0.94,4.26,9.33,
0,119,68,G,2.06,4.28,8.36,
0,119,85,G,4.46,4.32,7.43,
0,119,102,G,9.31,4.36,6.65,
0,119,119,BG,4.58,4.41,6.13,
0,119,136,B,0.04,4.47,5.99,
0,119,153,B,5.03,4.54,6.66,
0,119,170,B,9.15,4.62,8.03,
0,119,187,PB,1.84,4.7,9.8,
0,119,204,PB,3.82,4.8,11.72,
0,119,221,PB,5.2,4.9,13.66,
0,119,238,PB,5.79,5.01,15.54,
0,119,255,PB,6.19,5.13,17.21,
0,136,0,GY,9.42,4.81,12.33,
0,136,17,GY,9.68,4.81,11.94,
0,136,34,G,0.1,4.82,11.37,
0,136,51,G,0.62,4.83,10.67,
0,136,68,G,1.45,4.85,9.83,
0,136,85,G,2.77,4.88,8.96,
0,136,102,G,5.42,4.92,8.06,
0,136,119,BG,0.18,4.96,7.37,
0,136,136,BG,4.86,5.01,6.92,
0,136,153,BG,9.79,5.07,6.71,
0,136,170,B,4.39,5.14,7.24,
0,136,187,B,8.09,5.21,8.48,
